Ivory Coast,African Cup of Nations qualification
Ivory Coast,African Games
Ivory Coast,CAF Olympic Qualifying Tournament
Ivory Coast,FIFA Women's Invitation Tournament
Ivory Coast,FIFA World Cup
Ivory Coast,Friendly
Ivory Coast,WAFU Zone B Cup
Jamaica,CONCACAF Championship
Jamaica,CONCACAF Championship qualification
Jamaica,CONCACAF Gold Cup
Jamaica,CONCACAF Gold Cup qualification
Jamaica,CONCACAF Olympic Qualifying Tournament
Jamaica,CONCACAF Olympic Qualifying Tournament qualification
Jamaica,CONCACAF Pre-Olympic Tournament
Jamaica,CONCACAF Pre-Olympic Tournament qualification
Jamaica,Central American and Caribbean Games
Jamaica,Cup of Nations
Jamaica,FIFA World Cup
Jamaica,Friendly
Jamaica,Olympic qualification
Jamaica,Pan American Games
Japan,AFC Asian Cup
Japan,AFC Championship
Japan,AFC Olympic Qualifying Tournament
Japan,AFC Olympic qualification
Japan,Algarve Cup
Japan,Asian Games
Japan,Chunghua Cup
Japan,Cyprus Cup
Japan,EAFF E-1 Championship
Japan,FIFA Women's Invitation Tournament
Japan,FIFA World Cup
Japan,FIFA World Cup qualification
Japan,Friendly
Japan,Kirin Challenge Cup
Japan,MS&AD Cup
Japan,Mundialito
Japan,Olympic Games
Japan,SheBelieves Cup
Japan,Tournament of Nations
Japan,U.S. Cup
Jersey,Inter Games
Jersey,Island Games
Jordan,AFC Asian Cup
Jordan,AFC Asian Cup qualification
Jordan,AFC Olympic Qualifying Tournament
Jordan,AFC Olympic qualification
Jordan,AFF Championship
Jordan,Arab Cup
Jordan,Armenia International Friendly Tournament
Jordan,Asian Games
Jordan,Friendly
Jordan,Pink Ladies Cup
Jordan,Turkish Women's Cup
Jordan,WAFF Championship
Kazakhstan,AFC Championship
Kazakhstan,FIFA World Cup qualification
Kazakhstan,Friendly
Kazakhstan,Turkish Women's Cup
Kazakhstan,UEFA Euro qualification
Kazakhstan,UEFA Nations League
Kenya,African Championship qualification
Kenya,African Cup of Nations
Kenya,African Cup of Nations qualification
Kenya,CAF Olympic Qualifying Tournament
